category,type,split,label,is_defect,resolution,mode,filename
bottle,Objet,train,good,0,900x900,RGB,000.png
bottle,Objet,train,good,0,900x900,RGB,001.png
bottle,Objet,train,good,0,900x900,RGB,002.png
bottle,Objet,train,good,0,900x900,RGB,003.png
bottle,Objet,train,good,0,900x900,RGB,004.png
bottle,Objet,train,good,0,900x900,RGB,005.png
bottle,Objet,train,good,0,900x900,RGB,006.png
bottle,Objet,train,good,0,900x900,RGB,007.png
bottle,Objet,train,good,0,900x900,RGB,008.png
bottle,Objet,train,good,0,900x900,RGB,009.png
bottle,Objet,train,good,0,900x900,RGB,010.png
bottle,Objet,train,good,0,900x900,RGB,011.png
bottle,Objet,train,good,0,900x900,RGB,012.png
bottle,Objet,train,good,0,900x900,RGB,013.png
bottle,Objet,train,good,0,900x900,RGB,014.png
bottle,Objet,train,good,0,900x900,RGB,015.png
bottle,Objet,train,good,0,900x900,RGB,016.png
bottle,Objet,train,good,0,900x900,RGB,017.png
bottle,Objet,train,good,0,900x900,RGB,018.png
bottle,Objet,train,good,0,900x900,RGB,019.png
bottle,Objet,train,good,0,900x900,RGB,020.png
bottle,Objet,train,good,0,900x900,RGB,021.png
bottle,Objet,train,good,0,900x900,RGB,022.png
bottle,Objet,train,good,0,900x900,RGB,023.png
bottle,Objet,train,good,0,900x900,RGB,024.png
bottle,Objet,train,good,0,900x900,RGB,025.png
bottle,Objet,train,good,0,900x900,RGB,026.png
bottle,Objet,train,good,0,900x900,RGB,027.png
bottle,Objet,train,good,0,900x900,RGB,028.png
bottle,Objet,train,good,0,900x900,RGB,029.png
bottle,Objet,train,good,0,900x900,RGB,030.png
bottle,Objet,train,good,0,900x900,RGB,031.png
bottle,Objet,train,good,0,900x900,RGB,032.png
bottle,Objet,train,good,0,900x900,RGB,033.png
bottle,Objet,train,good,0,900x900,RGB,034.png
bottle,Objet,train,good,0,900x900,RGB,035.png
bottle,Objet,train,good,0,900x900,RGB,036.png
bottle,Objet,train,good,0,900x900,RGB,037.png
bottle,Objet,train,good,0,900x900,RGB,038.png
bottle,Objet,train,good,0,900x900,RGB,039.png
bottle,Objet,train,good,0,900x900,RGB,040.png
bottle,Objet,train,good,0,900x900,RGB,041.png
bottle,Objet,train,good,0,900x900,RGB,042.png
bottle,Objet,train,good,0,900x900,RGB,043.png
bottle,Objet,train,good,0,900x900,RGB,044.png
bottle,Objet,train,good,0,900x900,RGB,045.png
bottle,Objet,train,good,0,900x900,RGB,046.png
bottle,Objet,train,good,0,900x900,RGB,047.png
bottle,Objet,train,good,0,900x900,RGB,048.png
bottle,Objet,train,good,0,900x900,RGB,049.png
bottle,Objet,train,good,0,900x900,RGB,050.png
bottle,Objet,train,good,0,900x900,RGB,051.png
bottle,Objet,train,good,0,900x900,RGB,052.png
bottle,Objet,train,good,0,900x900,RGB,053.png
bottle,Objet,train,good,0,900x900,RGB,054.png
bottle,Objet,train,good,0,900x900,RGB,055.png
bottle,Objet,train,good,0,900x900,RGB,056.png
